                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5387,                 7.7436,                 1.5004,                0.00058,                0.17021,                0.00228,                0.00133,                 2.1821,                 7.4717,                 1.2023,             0.00065497,             0.00065497,             0.00065497
                      2,                 1.9512,                 4.0016,                 1.1671,                0.45548,                0.42553,                0.43114,                0.19666,                 1.8435,                 3.7807,                 1.1033,              0.0013086,              0.0013086,              0.0013086
                      3,                 1.9245,                 2.8493,                 1.1793,                0.56952,                0.33786,                0.35363,                0.16542,                 2.0082,                 2.9267,                 1.2317,              0.0019489,              0.0019489,              0.0019489
                      4,                 1.7672,                 2.0568,                 1.1267,                0.94114,                0.55319,                0.69654,                0.33514,                 1.8125,                 2.0107,                  1.128,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.691,                 1.7533,                 1.0787,                0.84433,                 0.5771,                0.65845,                0.21975,                 2.1167,                 1.7008,                 1.1729,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.6807,                 1.5609,                 1.0639,                0.78873,                0.55319,                0.63234,                  0.313,                 1.7166,                 1.3871,                 1.1222,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.6138,                 1.3357,                 1.0634,                0.86593,                0.68722,                 0.7809,                0.34117,                 1.8053,                 1.1623,                 1.0581,               0.001901,               0.001901,               0.001901
                      8,                 1.4953,                 1.1559,                 1.0341,                0.92048,                0.73892,                0.76887,                0.32415,                 1.7228,                 1.0809,                 1.1312,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4796,                 1.1347,                 1.0143,                0.88791,                0.67432,                0.74852,                0.23328,                  2.218,                  1.414,                 1.3135,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.5441,                 1.1314,                 1.0058,                0.84549,                0.65957,                0.74983,                  0.385,                 1.7007,                 1.1684,                 1.1582,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4494,                 1.0314,                 1.0013,                0.80826,                0.85106,                0.84357,                0.38599,                 1.8558,                 1.1843,                 1.2348,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3864,                0.96904,                0.98851,                0.89624,                0.85106,                 0.8583,                0.26387,                 2.2524,                  1.211,                 1.3113,               0.001802,               0.001802,               0.001802
                     13,                 1.4056,                0.95831,                0.98463,                0.85907,                0.77829,                0.85148,                0.43366,                 1.6949,                 1.0864,                 1.1715,              0.0017822,              0.0017822,              0.0017822
                     14,                  1.385,                0.96961,                0.99104,                0.83137,                 0.8393,                0.87479,                0.39487,                 1.7916,                 1.0444,                 1.1328,              0.0017624,              0.0017624,              0.0017624
                     15,                   1.32,                0.90087,                 0.9653,                0.87192,                0.72421,                0.83827,                0.30035,                 2.0718,                 1.2516,                 1.1973,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3276,                0.85511,                0.97784,                0.90321,                0.79432,                0.86931,                0.41533,                 1.6828,                 1.0063,                 1.0659,              0.0017228,              0.0017228,              0.0017228
                     17,                  1.327,                 0.8952,                0.96149,                0.82818,                0.82057,                0.85501,                0.42547,                 1.6905,                 1.0139,                 1.1067,               0.001703,               0.001703,               0.001703
                     18,                 1.3213,                0.83966,                0.96796,                0.92835,                 0.8271,                0.87648,                0.43515,                 1.7602,                0.96645,                 1.0934,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2659,                0.81826,                0.94092,                 0.9575,                0.82979,                0.87797,                0.43686,                 1.6132,                 1.0952,                 1.0584,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2505,                0.79658,                0.94626,                0.90223,                0.85106,                0.89922,                0.47461,                 1.7163,                0.94271,                 1.1044,              0.0016436,              0.0016436,              0.0016436
                     21,                  1.233,                0.77992,                0.94616,                 0.9417,                0.87234,                0.91483,                0.45676,                 1.6762,                0.80874,                 1.0754,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.2288,                0.76558,                0.95308,                0.92636,                0.85106,                0.86588,                0.44035,                 1.6684,                0.98763,                 1.0811,               0.001604,               0.001604,               0.001604
                     23,                 1.2354,                0.79416,                0.94403,                0.90641,                 0.8243,                0.89124,                0.44832,                 1.6745,                0.85184,                 1.0757,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.2334,                0.77029,                0.93754,                0.91207,                0.88293,                 0.9205,                0.43525,                 1.6317,                0.77958,                 1.0688,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.2248,                0.72227,                0.94164,                0.88722,                0.89362,                0.91711,                 0.4638,                 1.7845,                0.92252,                  1.167,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.2109,                0.73072,                0.93872,                0.95422,                0.87234,                0.91728,                0.53336,                 1.4247,                0.78292,                 1.0174,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.2103,                0.73659,                0.92844,                0.95131,                 0.8315,                0.90837,                0.35801,                 1.7841,                 0.9046,                 1.1291,               0.001505,               0.001505,               0.001505
                     28,                  1.194,                0.70345,                0.92598,                0.95128,                0.80851,                0.89454,                0.46307,                 1.5935,                0.83617,                 1.0877,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.1741,                0.69956,                0.92202,                0.95303,                0.86363,                0.91137,                0.48008,                 1.4409,                0.76016,                 1.0054,              0.0014654,              0.0014654,              0.0014654
