                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                 2.0914,                 1.3788,                 1.3423,                0.65574,                0.62791,                0.73794,                0.27171,                 2.2046,                  1.163,                  1.259,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.0739,                 1.3683,                 1.3111,                0.70998,                0.74012,                0.78644,                0.25656,                 2.3757,                 1.1443,                 1.2972,              0.0016436,              0.0016436,              0.0016436
                     21,                  2.023,                 1.3867,                 1.3152,                0.73585,                0.63953,                0.70329,                0.23822,                 2.3984,                 1.2561,                  1.345,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.0257,                 1.3404,                 1.2812,                 0.8632,                0.80233,                0.86987,                0.29969,                 2.2037,                 1.1691,                 1.2542,               0.001604,               0.001604,               0.001604
                     23,                 1.9488,                 1.3247,                 1.2754,                0.75507,                0.68113,                0.75054,                0.22147,                 2.4912,                 1.2299,                 1.3962,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.0136,                 1.3224,                 1.3034,                0.79054,                0.63953,                0.75261,                0.25896,                 2.3389,                  1.198,                  1.298,              0.0015644,              0.0015644,              0.0015644
                     25,                  1.979,                 1.3194,                 1.2757,                0.70199,                0.74419,                0.81037,                0.22585,                 2.4688,                 1.1936,                 1.3967,              0.0015446,              0.0015446,              0.0015446
                     26,                  1.991,                 1.3174,                 1.2791,                0.82865,                0.74419,                0.82571,                0.30421,                  2.122,                  1.111,                 1.2257,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.9788,                 1.2952,                 1.2747,                0.72175,                0.65116,                0.71724,                0.21448,                 2.3327,                 1.2728,                 1.2914,               0.001505,               0.001505,               0.001505
                     28,                  1.929,                 1.2582,                 1.2434,                0.76346,                0.67556,                0.76415,                0.26977,                 2.2255,                 1.1436,                 1.2705,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.9446,                 1.2878,                 1.2625,                0.69277,                0.76042,                 0.7816,                0.26605,                 2.3354,                 1.1672,                 1.3568,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.9033,                 1.2617,                 1.2443,                0.81879,                0.67442,                0.75002,                 0.2241,                 2.4142,                 1.2076,                 1.3504,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.8793,                 1.2305,                 1.2289,                0.75617,                0.56977,                0.73215,                0.21844,                 2.5777,                 1.1974,                 1.3788,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.8734,                 1.1911,                 1.2222,                0.80247,                0.67442,                0.75855,                0.23193,                 2.4955,                 1.1334,                 1.4067,               0.001406,               0.001406,               0.001406
                     33,                 1.9048,                 1.2443,                 1.2267,                0.72586,                0.62791,                0.69364,                0.22144,                 2.4745,                 1.1499,                 1.3962,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.9192,                 1.1981,                 1.2464,                0.80245,                0.69767,                0.80556,                 0.2673,                 2.3138,                 1.1812,                 1.2794,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.8534,                 1.1881,                 1.2192,                0.79145,                0.62791,                 0.7294,                0.21556,                 2.5257,                 1.2121,                 1.3976,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.8784,                 1.2302,                 1.2135,                0.83602,                0.74419,                0.86448,                0.26477,                 2.3569,                 1.0864,                 1.3089,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.9334,                 1.1807,                 1.2393,                0.79292,                0.59302,                0.67254,                0.20504,                 2.4972,                 1.2513,                 1.3612,               0.001307,               0.001307,               0.001307
                     38,                  1.835,                 1.1478,                  1.192,                0.74284,                0.67442,                 0.7727,                0.25629,                 2.3231,                 1.1099,                 1.2693,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.8472,                 1.1612,                 1.1869,                0.74936,                0.69767,                0.76617,                0.27457,                 2.3329,                 1.0489,                 1.2991,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.8352,                 1.1823,                 1.1909,                0.82317,                0.72093,                0.75954,                0.25852,                 2.3092,                 1.0924,                  1.305,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.7995,                 1.1064,                 1.1854,                0.85452,                0.74419,                0.81792,                0.27962,                 2.2896,                 1.1386,                 1.2755,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.8505,                 1.1144,                 1.1954,                 0.5332,                0.63953,                0.60052,                0.14039,                  2.819,                 1.2931,                 1.5069,               0.001208,               0.001208,               0.001208
                     43,                 1.7607,                  1.115,                 1.1802,                0.75919,                 0.7093,                 0.7572,                0.22716,                 2.3687,                  1.214,                 1.3478,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.756,                 1.1112,                 1.1692,                0.74058,                 0.7303,                0.78804,                0.22699,                 2.5314,                  1.084,                 1.3846,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.7315,                 1.0832,                 1.1585,                0.66606,                0.74217,                 0.7307,                0.24502,                 2.2952,                 1.0777,                 1.2803,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.7759,                 1.0869,                 1.1663,                0.78243,                0.68605,                0.73026,                0.21067,                 2.4808,                  1.171,                  1.401,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.7152,                 1.0542,                 1.1407,                0.72638,                0.64827,                0.67837,                0.21207,                 2.5318,                 1.1157,                  1.419,               0.001109,               0.001109,               0.001109
                     48,                 1.7351,                 1.0502,                 1.1693,                0.70715,                0.67442,                0.69231,                0.21558,                 2.4524,                 1.2302,                 1.3226,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.7489,                 1.0711,                 1.1719,                0.78995,                0.78718,                0.80299,                0.25526,                 2.4059,                 1.0173,                 1.3645,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.7277,                 1.0474,                 1.1654,                0.57738,                0.61628,                0.63462,                0.16372,                 2.6433,                 1.2198,                  1.482,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.7087,                 1.0313,                 1.1507,                 0.7179,                0.80233,                0.75836,                0.21925,                  2.456,                 1.1579,                 1.3767,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.6613,                 1.0443,                 1.1303,                0.62476,                 0.7093,                0.71518,                0.21481,                  2.504,                 1.1113,                 1.3791,                0.00101,                0.00101,                0.00101
                     53,                 1.7289,                 1.0453,                 1.1383,                0.72657,                0.59302,                0.70145,                0.22643,                 2.5376,                 1.1366,                 1.4157,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.6802,                 1.0236,                 1.1177,                0.67932,                0.69767,                0.70787,                0.23732,                 2.3135,                 1.1289,                 1.3187,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.6585,                0.99327,                 1.1151,                0.77282,                0.75159,                 0.7946,                0.27563,                 2.2349,                 1.0231,                 1.2767,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.6672,                0.99508,                 1.1129,                0.64247,                0.66279,                0.65467,                0.19454,                 2.5688,                   1.13,                 1.3752,              0.0009308,              0.0009308,              0.0009308
                     57,                  1.666,                0.98354,                 1.1286,                0.80789,                0.68461,                0.77661,                0.21513,                 2.4136,                 1.1964,                 1.3417,               0.000911,               0.000911,               0.000911
                     58,                 1.6763,                 0.9907,                 1.1339,                0.72687,                0.71175,                0.80053,                0.25105,                 2.3445,                 1.0409,                 1.3093,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.6366,                0.96085,                 1.1245,                0.74591,                0.76744,                0.77804,                0.24199,                 2.3303,                0.99724,                 1.2944,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.6475,                0.96965,                 1.1021,                0.75131,                0.68605,                0.76632,                0.23599,                 2.3305,                  1.026,                 1.3128,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.6185,                 0.9539,                 1.1116,                0.68479,                 0.7093,                0.69711,                0.19203,                 2.5147,                 1.1354,                 1.4207,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.6327,                0.95516,                  1.111,                 0.6574,                0.69173,                0.76453,                 0.2426,                 2.3855,                 1.0668,                 1.3786,               0.000812,               0.000812,               0.000812
                     63,                 1.6146,                0.94104,                 1.1066,                  0.756,                 0.7907,                0.81725,                0.25042,                 2.3948,                 1.0184,                 1.3696,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.5814,                0.93639,                 1.0886,                0.78149,                0.72093,                0.76619,                  0.248,                 2.3101,                0.97472,                 1.3049,              0.0007724,              0.0007724,              0.0007724
                     65,                  1.571,                0.93949,                  1.093,                0.71466,                0.69767,                0.77508,                0.24853,                 2.3754,                0.98365,                 1.3204,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.5651,                0.94365,                 1.0752,                0.68288,                0.62791,                0.67086,                0.19499,                  2.529,                 1.1087,                 1.4278,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.5393,                0.89812,                 1.0834,                  0.716,                0.76744,                 0.7548,                0.23439,                 2.4791,                  1.013,                 1.4122,               0.000713,               0.000713,               0.000713
                     68,                 1.5378,                0.88964,                 1.0928,                0.75875,                0.73256,                0.76426,                0.26715,                 2.3108,                0.99855,                 1.3295,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.5432,                0.91009,                 1.0724,                0.73637,                 0.7093,                0.72788,                0.21772,                 2.4516,                 1.0631,                 1.3651,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.5722,                0.90909,                 1.0848,                0.70163,                0.67442,                0.70406,                0.22716,                 2.3367,                 1.0413,                 1.3329,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.5695,                0.88594,                 1.0863,                 0.7626,                0.76744,                0.76019,                0.23732,                 2.3555,                0.99471,                 1.3159,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.5119,                0.87955,                 1.0672,                0.72911,                0.78243,                0.74342,                0.25266,                 2.3307,                0.98232,                 1.3211,               0.000614,               0.000614,               0.000614
