                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6098,                 1.6653,                 1.6786,                0.65108,                0.75943,                0.75366,                0.27589,                 2.2398,                 1.1916,                 1.2412,             0.00065863,             0.00065863,             0.00065863
                      2,                 2.3424,                 1.6143,                 1.4384,                0.91262,                0.73256,                0.87292,                0.28987,                 2.3112,                 1.0371,                 1.2442,              0.0013122,              0.0013122,              0.0013122
                      3,                  2.333,                  1.622,                 1.4439,                0.72587,                 0.5814,                0.65812,                0.19553,                  2.489,                 1.2453,                  1.311,              0.0019525,              0.0019525,              0.0019525
                      4,                 2.2637,                 1.6733,                 1.4071,                0.61413,                0.60465,                0.62453,                0.22397,                 2.2548,                 1.6397,                 1.2646,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.3344,                 1.7454,                 1.4237,                 0.5445,                0.66279,                0.62271,                0.19848,                 2.4181,                 1.3731,                 1.3281,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.3003,                 1.6482,                 1.4181,                0.66242,                    0.5,                0.56737,                0.15523,                 2.6609,                 1.4628,                 1.3926,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.2251,                 1.6136,                 1.4035,                0.69414,                0.62791,                0.65934,                0.21137,                 2.4154,                 1.3757,                  1.315,               0.001901,               0.001901,               0.001901
                      8,                 2.1859,                 1.5621,                 1.3741,                0.79071,                  0.659,                0.77073,                0.26135,                  2.352,                 1.2045,                 1.3193,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.1814,                 1.5041,                 1.3594,                0.79066,                0.70271,                0.79489,                0.27569,                 2.2516,                 1.1605,                 1.2677,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.1719,                 1.5196,                 1.3622,                0.65693,                0.53488,                0.60339,                0.18686,                 2.4236,                 1.4186,                 1.3403,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.1004,                 1.5005,                 1.3473,                0.77758,                0.56977,                0.68251,                0.22675,                 2.3529,                 1.2862,                  1.279,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.1433,                   1.56,                 1.3631,                0.82104,                0.58687,                0.72882,                 0.2144,                 2.4834,                 1.2431,                 1.3458,               0.001802,               0.001802,               0.001802
                     13,                 2.1425,                 1.5153,                 1.3365,                 0.6284,                0.54651,                0.66427,                0.21323,                 2.4498,                 1.2136,                 1.3103,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.1158,                 1.4362,                 1.3287,                0.71647,                0.56977,                0.69131,                0.21054,                 2.3825,                 1.2114,                 1.3049,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0493,                 1.3778,                 1.3323,                0.72379,                0.72093,                0.74232,                0.25697,                 2.4128,                 1.1926,                 1.3302,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.0176,                 1.3772,                 1.3098,                0.66311,                0.68605,                 0.7298,                0.21366,                 2.4364,                 1.2366,                 1.3189,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.0565,                 1.4017,                 1.3072,                0.61929,                0.47674,                0.60937,                0.20149,                  2.439,                 1.3808,                 1.3538,               0.001703,               0.001703,               0.001703
                     18,                 2.0339,                 1.3945,                 1.3074,                0.65066,                0.56977,                0.70164,                0.25722,                 2.1868,                 1.1865,                 1.2421,              0.0016832,              0.0016832,              0.0016832
